Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;Discharge_Pump_Work;Discharge_Pump_SFOC;ROB_Fuel_Total;Duration_Shore_Side_Electricity_Reception;Source_System;Last_Updated
2025-06-20;01:18;End of sea passage;;8,3;116;S;12;3,12;W;77;15,22;CLBAR;PECLL;202508-2-CLBAR-PECLL;;0;8,3;0;0;0;5;;0,4;;;;;70,8;63,6;450;;0;215;584,4;;OVDAPI;2025-10-30 02:44
2025-06-20;02:54;Arrival;;1,6;4;S;12;2,59;W;77;8,73;CLBAR;PECLL;202508-2-CLBAR-PECLL;;0;0;1,6;0;0;0,2;;0,2;;;;;70,8;63,2;450;;0;215;584;;OVDAPI;2025-10-30 02:44
2025-06-20;17:00;Noon (Position) - Port;;14,1;0;S;12;2,59;W;77;8,73;PECLL;PECLL;202508-2-CLBAR-PECLL;;14512,74;0;0;0;0;;;;0,4;0,9;;;70,4;62,3;450;;0;215;582,7;;OVDAPI;2025-10-30 02:44
2025-06-21;04:35;Departure;;11,58;0;S;12;2,59;W;77;8,73;PECLL;PECLL;202508-2-CLBAR-PECLL;;14512,74;0;0;0;0;;;;0,4;0,6;;;70;61,7;450;;0;215;581,7;;OVDAPI;2025-10-30 02:44
2025-06-21;15:36;Begin of sea passage;;11,02;5,2;S;12;0,87;W;77;12,45;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;0;1,72;9,3;0;0,2;;;0,4;0,7;;;69,6;60,8;450;;0;215;580,4;;OVDAPI;2025-10-30 02:44
2025-06-21;17:00;Noon (Position) - Sea passage;;1,4;15;S;12;15,93;W;77;16,8;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;1,4;0;0;0;0,8;;0,1;;;;;68,8;60,7;450;;0;215;579,5;;OVDAPI;2025-10-30 02:44
2025-06-22;16:00;Noon (Position) - Sea passage;;23;260;S;13;31,19;W;77;3,17;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;23;0;0;0;13,9;;1,1;;;;;54,9;59,6;450;;0;215;564,5;;OVDAPI;2025-10-30 02:44
2025-06-23;16:00;Noon (Position) - Sea passage;;24;279;S;19;42,84;W;72;47,53;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;24;0;0;0;14,5;;1,1;;;;;40,4;58,5;450;;0;215;548,9;;OVDAPI;2025-10-30 02:44
2025-06-24;10:00;End of sea passage;;18;216;S;22;55,66;W;70;27,3;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;18;0;0;0;10,8;;0,9;;;;;29,6;57,6;450;;0;215;537,2;;OVDAPI;2025-10-30 02:44
2025-06-24;16:00;Noon (Position) - Sea passage;;6;6;S;22;54,69;W;70;28,48;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;0;6;0;0;0,2;;;0,2;0,3;;;29,4;57,1;450;;0;215;536,5;;OVDAPI;2025-10-30 02:44
2025-06-25;16:00;Noon (Position) - Sea passage;;24;4;S;22;53,1;W;70;24,48;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;0;24;0;0;0,1;;;0,5;1,1;;;28,9;55,9;450;;0;215;534,8;;OVDAPI;2025-10-30 02:44
2025-06-25;21:42;Arrival;;5,7;6;S;23;4,9;W;70;24,93;PECLL;CLMJS;202509-1-PECLL-CLMJS;;14512,74;0;5,7;0;0;0,3;;;0,2;0,5;;;28,7;55,1;450;;0;215;533,8;;OVDAPI;2025-10-30 02:44
2025-06-26;16:00;Noon (Position) - Port;;18,3;12,46;S;23;4,9;W;70;24,93;CLMJS;CLMJS;202509-1-PECLL-CLMJS;;0;0;0;0;0;;;;0,3;2;;;28,4;53,1;450;;4900;215;531,5;;OVDAPI;2025-10-30 02:44
2025-06-27;15:22;Departure;;23,37;0;S;23;4,9;W;70;24,93;CLMJS;CLMJS;202509-1-PECLL-CLMJS;;0;0;0;0;0;;;;0,5;3;;;27,9;50,1;450;;7385;215;528;;OVDAPI;2025-10-30 02:44
2025-06-27;15:42;Begin of sea passage;;0,33;2,6;S;23;2,69;W;70;25,51;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;0;0,33;0;0;0,2;;0,1;;;;;27,9;49,8;450;;0;215;527,7;;OVDAPI;2025-10-30 02:44
2025-06-27;16:00;Noon (Position) - Sea passage;;0,3;4;S;22;59,66;W;70;26,55;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;0,3;0;0;0;0,2;;0,1;;;;;27,7;49,7;450;;0;215;527,4;;OVDAPI;2025-10-30 02:44
2025-06-28;17:00;Noon (Position) - Sea passage;;25;345;S;21;18,93;W;71;36,75;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;25;0;0;0;15,1;;1,2;;;;;12,6;48,5;450;;0;215;511,1;;OVDAPI;2025-10-30 02:44
